;degree;Hoerer:innen;Follower:innen
1;Von wegen Lisbeth;Milky Chance;Annenmaykantereit
2;Annenmaykantereit;Annenmaykantereit;Olli Schulz
3;Leoniden;Giant Rooks;Milky Chance
4;Razz;Bosse;Kraftklub
5;Wanda;Kraftklub;Bosse
6;Faber;Aetna;Faber
7;Fil Bo Riva;Provinz;Giant Rooks
8;Giant Rooks;Avec;Bilderbuch
9;Drangsal;FilBoRiva;Von wegen Lisbeth
10;Kraftklub;VonwegenLisbeth;Provinz
11;Schmutzki;Bilderbuch;Leoniden
12;Bilderbuch;Faber;Wanda
13;Milliarden;Wanda;Blond
14;Bosse;Leoniden;Black Sea Dahu
15;Milky Chance;OlliSchulz;Drangsal
16;Frittenbude;Bonaparte;Mine
17;Rikas;Mine;Fil Bo Riva
18;Olli Schulz;Bruckner;Amilli
19;Tonbandgeraet;BlackSeaDahu;Bruckner
20;Schnippo Schranke;Razz;Bonaparte
21;Blond;Amilli;Razz
22;Die Hoechste Eisenbahn;Milliarden;Tonbandgeraet
23;Mine;Frittenbude;Milliarden
24;Bonaparte;Stereo Total;Frittenbude
25;Kettkar;Rikas;Kettcar
26;Amilli;Kettcar;Rikas
27;Lisa Morgenstern;LisaMorgenstern;Die hoechste Eisenbahn
28;Fibel;Die hoechste Eisenbahn;Aetna
29;Provinz;Lion Sphere;Schmutzki
30;Lion Sphere;Tonbandgeraet;Schnipo Schranke
31;Aetna;SchnipoSchranke;AVEC
32;Bruckner;Schmutzki;Stereototal
33;Black Sea Dahu;Drangsal;Lionsphere
34;Avec;Blond;Fibel
35;Stereo Total;Fibel;Lisa Morgenstern
