from,to,relation,time,source,what,,
amil,anne,3,2019,,Amili war Support bei AMK,,
amil,anne,4,2019,https://themellowmusic.com/amilli-singt-mit-annenmaykantereit-bang-bang/,gemeinsames Cover: Bang Bang,,
amil,blon,1,2019,https://www.festivalhopper.de/festival/tickets/kosmonaut-festival-2019.php,Kosmonauten Festival,,
amil,blon,1,2019,https://www.festivalhopper.de/festival/tickets/kosmonaut-festival-2019.php,Nürnberg Pop Festival,,
amil,bruc,1,2019,,Reeperbahn Festival,,
amil,boss,1,2019,,PULS OpenAir,,
amil,dran,1,2019,https://nuernberg-pop.com/history/,Nürnberg Pop Festival,,
amil,dran,1,2019,,Zürich Zuhause Festival,,
amil,gian,3,2019,https://allgood.de/features/interviews/die-sehen-mich-als-kleine-suesse-saengerin-die-keine-ahnung-hat/,Supportact bei Giant Tour,,
amil,kraf,1,2019,https://www.festivalhopper.de/festival/tickets/lollapalooza-berlin-2019.php,Lollapalooza,,
amil,leon,1,2019,,Reeperbahn Festival,,
amil,leon,1,2019,,PULS OpenAir,,
amil,leon,1,2019,,Juicy Beats,,
amil,leon,1,2019,,Kosmonauten Festival,,
amil,leon,1,2020,,c/o Pop Festival,,
amil,lion,1,2019,https://www.seatsounds-kioskkonzerte.de/,SEATsounds,,
amil,lisa,1,2019,https://www.musikblog.de/2019/09/reeperbahn-festival-2019/,Reeperbahn Festival,,
amil,mill,1,2019,https://www.handwritten-mag.de/festival-sommer-2019-alternative-indie/,About you Pangea Festival,,
amil,mine,1,2019,,PULS OpenAir,,
amil,mine,1,2019,,Lollapalooza,,
amil,olli,1,2019,https://www.festivalhopper.de/festival/tickets/lollapalooza-berlin-2019.php,Lollapalooza,,
amil,prov,1,2019,,Reeperbahn Festival,,
amil,prov,1,2019,,c/o Pop Festival,,
amil,rika,1,2019,,Juicy Beats,,
amil,rika,1,2019,,PULS OpenAir,,
amil,rika,1,2019,,About You Pangea Festival,,
amil,vonw,1,2019,https://www.festivalhopper.de/festival/tickets/kosmonaut-festival-2019.php,Kosmonauten Festival,,
anne,bild,1,2015,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Haldern Pop Festival,,
anne,bild,1,2015,,Melt,,
anne,bild,3,2016,,AMK waren Vorband von Bilderbuch,,
anne,bild,1,2017,,Haldern Pop Festival,,
anne,bild,1,2017,,Kosmonauten Festival,,
anne,bild,1,2020,,FM4 Frequency Festival,,
anne,bona,1,2016,,Highfield,,
anne,bona,1,2017,,Lollapalooza,,
anne,bona,1,2017,,Rock am Ring,,
anne,bona,1,2017,,Rock im Park,,
anne,boss,1,2015,,Casper Castival Dortmund,,
anne,boss,1,2016,,Southside Festival,,
anne,boss,1,2019,,PULS Open Air,,
anne,bruc,1,2020,https://www.facebook.com/BrucknerMusik/photos/a.452722924770709/3033783803331262/?type=3,Stream for Water Festival,,
anne,dieh,4,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Gemeinsamer Song: Farbfilm 2020,,
anne,dieh,1,2019,,Haldern Pop Festival,,
anne,dieh,1,2019,,Kosmonaut,,
anne,dran,1,2017,,Deichbrand Rock Festival,,
anne,dran,1,2019,,Highfield,,
anne,fabe,2,n/a,,Irrsinn Tonträger,,
anne,fabe,1,2016,,Appletree Garden Festival,,
anne,fabe,1,2017,,C/o Pop Festival,,
anne,fabe,1,2017,,Haldern Pop Festival,,
anne,fabe,1,2017,Festival Hopper,Orange Blossom Special,,
anne,fabe,1,2019,,Highfield,,
anne,fabe,1,2019,,Szeneopenair,,
anne,fabe,1,2019,,Southside,,
anne,fabe,1,2019,,Hurricane,,
anne,fabe,1,2020,Festival Hopper,"AMK ""Mit Freunden"" Konzert",,
anne,filb,1,2017,https://www.festivalhopper.de/festival/tickets/kosmonaut-festival-2017.php,Kosmonaut,,
anne,filb,3,2019,,Vorband von AMK,,
anne,gian,1,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Haldern Pop Festival,,
anne,gian,1,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Dockville,,
anne,gian,1,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Kosmonaut,,
anne,gian,1,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Orange Blossom Special,,
anne,gian,1,2017,https://www.festivalhopper.de/festival/tickets/haldern-pop-festival-2017.php,Juicy Beats,,
