id,name,personen,musiklabel,instagram,spotify
amil,Amilli,1,MIGHTKILLYA,17,212
anne,AnnenMayKantereit,3,IRRSINN Tonträger,706,2408
aetn,Ätna,2,Humming Records,8,805
avec,AVEC,1,earcandy recordings,5,702
bild,Bilderbuch,4,"2009, 2011 Schoenwetter Schallplatten
2015- Maschin Records",82,497
blac,Black Sea Dahu,1,Mouthwatering Records,32,226
blon,Blond,3,Beton Klunker Tonträger ,34,60
bona,Bonaparte,1,"2008, 2017 Bonaparte 
2008, 2010, 2012, 2014 Staatsakt
2012, 2014 Warner
2017 Believe
2019 Columbia
2019 Sony Music",16,306
boss,Bosse,1,"2005, 2006 EMI Records
2009 Fuego/Scoop/RTI
2011, 2013, 2016, 2018 Vertigo Records",107,1539
bruc,Bruckner,2,Columbia Local,16,265
dieh,Die Höchste Eisenbahn,4,Tapete Records,10,141
dran,Drangsal,1,Caroline International,32,69
fabe,Faber,1,"2016 Vertigo
2019 IRRSINN Tonträger",103,490
fibe,Fibel,4,Downbeat Records,4,11
filb,Fil Bo Riva,1,Humming Records,21,647
frit,Frittenbude,3,Audiolith,14,167
gian,Giant Rooks,5,IRRSINN Tonträger,94,1570
kett,Kettcar,5,Grand Hotel van Cleef,13,152
kraf,Kraftklub,5,"2012, 2014 Vertigo
2017 Universal",293,884
leon,Leoniden,5,"2014 Delikatess Records
2016- Two Peace Signs",47,424
lion,Lion Sphere,4,Lion Sphere,5,119
lisa,Lisa Morgenstern,1,"2013 Periplaneta
2019 Lisa Morgenstern",3,148
milk,Milky Chance,2,"2013, 2017 Lichtdicht Records
2019 Vertigo",315,7532
mill,Milliarden,2,"2016, 2018 Vertigo
2021 Zuckerplatte",14,182
mine,Mine,1,"2014 Styleheads Music
2016, 2018 Pennywine Entertainment
2017, 2019 Caroline International",27,284
olli,Olli Schulz,1,"2009 Columbia Records
2012, 2015, 2018 Trocadero Records",436,318
prov,Provinz,4,Warner,70,754
razz,Razz,4,Long Branch Records / SPV,15,213
rika,Rikas,4,"2018 Fanny Pack Party
2019 Columbia",12,152
schm,Schmutzki,3,"2016 Four Music
2018 Bäm/Cargo",7,74
schn,Schnipo Schranke,2,"2014 Staatsakt
2015, 2017 Buback",6,86
ster,Stereo Total,2,"Blow Up Records
Elefant Records
Little Teddy Recordings
Desert Records",5,160
tonb,Tonbandgerät,,Vertigo,15,96
vonw,Von wegen Lisbeth,5,"2016 Sony Music
2019- Columbia",82,552
wand,Wanda,4,"2014 Problembär, Rough Trade
2015- Vertigo, Universal",36,428
