id,name,type,age,role,representation,position
th,Thomas Hitzlsperger,0,38,V,spo,vors
tk,Tobias Keller,0,n/a,V,fin,vors
os,Oliver Schraft,0,53,V,kom,mitgl
cv,Claus Vogt,0,51,AR,n/a,vors
wp,Wilfried Porth,0,62,AR,n/a,stellv
ra,Rainer Adrion,0,67,AR,n/a,mitgl
hj,Hartmut Jenner,0,55,AR,n/a,mitgl
fr,Franz Reiner,0,53,AR,n/a,mitgl
bs,Dr. Betram Sugg,0,55,AR,n/a,mitgl
vfbs,VfB Stuttgart,1,n/a,n/a,n/a,n/a
bmh,Bundesstiftung Magnus Hirschfeld,1,n/a,n/a,n/a,n/a
dafk,Deutsche Akademie für Fussball-Kultur,1,n/a,n/a,n/a,n/a
ig,Intesia Group,1,n/a,n/a,n/a,n/a
fcpf,FC PlayFair!,1,n/a,n/a,n/a,n/a
d,Daimler,1,n/a,n/a,n/a,n/a
mb,Mercedes Benz,1,n/a,n/a,n/a,n/a
hmss,Hanns Martin Schleyer-Stiftung,1,n/a,n/a,n/a,n/a
swm,Südwestmetall,1,n/a,n/a,n/a,n/a
11,11hilft e. V.,1,n/a,n/a,n/a,n/a
k,Kärcher,1,n/a,n/a,n/a,n/a
fcg,Fanclub Courage Gerlingen,1,n/a,n/a,n/a,n/a
rb,Robert Bosch,1,n/a,n/a,n/a,n/a
